1.000    0.286  0.714
1.050    0.452  0.786
1.100    0.500  0.857
1.150    0.595  0.881
1.200    0.690  0.929
1.250    0.714  0.929
1.300    0.762  1.000
1.350    0.833  1.000
1.400    0.857  1.000
1.450    0.881  1.000
1.500    0.881  1.000
1.550    0.929  1.000
1.600    0.952  1.000
1.650    0.952  1.000
1.700    0.952  1.000
1.750    0.952  1.000
1.800    0.952  1.000
1.850    0.976  1.000
1.900    0.976  1.000
1.950    0.976  1.000
2.000    0.976  1.000
2.050    0.976  1.000
2.100    0.976  1.000
2.150    0.976  1.000
2.200    0.976  1.000
2.250    0.976  1.000
2.300    0.976  1.000
2.350    0.976  1.000
2.400    0.976  1.000
2.450    0.976  1.000
2.500    0.976  1.000
2.550    0.976  1.000
2.600    0.976  1.000
2.650    0.976  1.000
2.700    0.976  1.000
2.750    0.976  1.000
2.800    0.976  1.000
2.850    1.000  1.000
2.900    1.000  1.000
2.950    1.000  1.000
3.000    1.000  1.000
